"sample","sampleID","condition","sex","sex_condition","replaceable"
"08","08","treat","F","F1",TRUE
"10","10","treat","F","F1",TRUE
"12","12","cont","M","M0",TRUE
"13","13","cont","M","M0",TRUE
"14","14","cont","M","M0",TRUE
"15","15","treat","F","F1",TRUE
"16","16","treat","M","M1",FALSE
"20","20","treat","F","F1",TRUE
"21","21","cont","M","M0",TRUE
"22","22","treat","F","F1",TRUE
"24","24","treat","M","M1",FALSE
"25","25","cont","M","M0",TRUE
"26","26","treat","F","F1",TRUE
"27","27","cont","F","F0",FALSE
"28","28","treat","F","F1",TRUE
"30","30","cont","M","M0",TRUE
"31","31","treat","M","M1",FALSE
"32","32","cont","F","F0",FALSE
"33","33","cont","M","M0",TRUE
